"","Selphius","Daria Zawia³ow","TheFatRat","DREAMCATCHER","Lucian","Lindsey Stirling","The Tech Thieves","Caravan Palace","Taco Hemingway","Beltaine","Elderbrook","Besomorph","Lucky Luke","Jeff Williams","Sarsa","Mata","Nippandab","Sabaton","Mystery Skulls","Roksana Wêgiel","Lao Che","Grimes","League of Legends","Ellis","BLACKPINK","MELVV","Mothica","Mery Spolsky","8 Graves","Xxanaxx","XYLO","Amaranthe","The Dumplings","LEA","Unlike Pluto","Lastlings","Jacek Stachursky","Mêskie Granie Orkiestra 2018","grandson","Glass Animals","Dawid Podsiad³o","Rammstein","schafter","AViVA","Halsey","Gianni Blu","EGOIST","K/DA","AmaLee","Linia Nocna","Mata","Ben E. King","Karolina Czarnecka","Taco Hemingway","COIN","Dawid Podsiad³o","Alexandra Burke","Daria Zawia³ow","schafter","Jan-Rapowanie","Ed Sheeran","White 2115","Bitamina","Boney M.","Quebonafide","The Weeknd","sanah","Bastille","Malik Montana","Sam Smith","PRO8L3M","Tymek","Billie Eilish","Mêskie Granie Orkiestra 2018","Green Day","Bedoes","Imagine Dragons","TACONAFIDE","Dua Lipa","PlanBe","Kwiat Jab³oni","Post Malone","James Bay","Miley Cyrus","Shawn Mendes","Maroon 5","BARANOVSKI","Milky Chance","The Dumplings","Gromee","Viki Gabor","Capital Cities","Ariana Grande","TOTO","Gedz","Saint Motel","Bea Miller","Young Igi","Lanberry","chillwagon","Imagine Dragons","Taco Hemingway","Karolina Czarnecka","Lady Gaga","Nosowska","Sia","Mery Spolsky","Quebonafide","P!nk","Miley Cyrus","Billie Eilish","Twenty One Pilots","Lana Del Rey","Imany","TACONAFIDE","Ed Sheeran","Rosalie.","Dawid Podsiad³o","Panic! At The Disco","AURORA","Dua Lipa","Kasia Lins","Macklemore","Ofelia","Brodka","Avicii","sanah","OneRepublic","Natalia Nykiel","Ralph Kaminski","Krzysztof Zalewski","Kwiat Jab³oni","ROSALÍA","Coldplay","Bedoes","Mata","Thirty Seconds To Mars","Doda","Perfect","Natalia Przybysz","Ariana Grande","Piotr Rubik","Sylwia Grzeszczak","Calvin Harris","Margaret","Drake","The Dumplings","Halsey","Otsochodzi","Natalia Kukulska"
"11","Shiki-TMNS","Mery Spolsky","F-777","WJSN","MELVV","Eurielle","XYLO","Swingrowers","PRO8L3M","Corvus Corax","Chris Malinchak","Inova","Miscris","Ashley Johnson","Ewelina Lisowska","White 2115","Sunlike Brothers","Dream Evil","FAKE TYPE.","Sylwia Przybysz","Lech Janerka","Azealia Banks","Rival","Mazare","Weki Meki","Kasbo","Elohim","Bitamina","The Unlikely Candidates","Rysy","Lostboycrow","Epica","Sonbird","Max Giesinger","Besomorph","Set Mo","Jorrgus","Kortez","Des Rocs","Sir Sly","Fisz Emade Tworzywo","Deathstars","Deemz","The Tech Thieves","Hayley Kiyoko","Kyle Meehan","SawanoHiroyuki[nZk]","Weki Meki","Miura Jam","Rysy","White 2115","Sam & Dave","BOKKA","PRO8L3M","Coast Modern","Fisz Emade Tworzywo","Tulisa","Mery Spolsky","Deemz","Kuban","Alessia Cara","Smolasty","BOKKA","Sandra","Kaz Ba³agane","Jeremih","Ralph Kaminski","Noah Kahan","Otsochodzi","Anne-Marie","Kaz Ba³agane","Young Igi","FINNEAS","Kortez","Yellowcard","Jan-Rapowanie","Of Monsters and Men","Quebonafide","DNCE","Smolasty","Krzysztof Zalewski","Bazzi","Vance Joy","Hilary Duff","Troye Sivan","Jonas Brothers","Pawe³ Domaga³a","The Kooks","Sonbird","Jula","Kamil Bednarek","Electric Guest","Bea Miller","Don Henley","Na pó³ etatu","WALK THE MOON","Jack & Jack","Jan-Rapowanie","Ania Karwan","Beteo","Of Monsters and Men","PRO8L3M","BOKKA","Kim Petras","Lao Che","Birdy","Bitamina","Kaz Ba³agane","The Veronicas","Hilary Duff","FINNEAS","half•alive","Tove Lo","Ben Mazué","Quebonafide","Alessia Cara","Ten Typ Mes","Fisz Emade Tworzywo","The Maine","Gabrielle","DNCE","Julia Wieniawa","Bryce Vine","Vito Bambino","Edyta Bartosiewicz","Mike Perry","Ralph Kaminski","Plain White T's","Linia Nocna","Julia Pietrucha","Natalia Przybysz","Krzysztof Zalewski","Lele Pons","Vance Joy","Jan-Rapowanie","White 2115",NA,"Beata Kozidrak","Kombi","SKUBAS","Bea Miller","Kasia Cerekwicka","£zy","Galantis","Norma Sheffield","Tory Lanez","Sonbird","Hayley Kiyoko","Kaz Ba³agane","Goya"
"12","Jeaw","Pawe³ Domaga³a","Arc North","VIXX","Jinco","Marcus Warner","Mickey Valen","Annella","Deys","Hedningarna","Kidnap","Arrested Youth","OSVISS","AmaLee","BARANOVSKI","Trill Pem","RushLow","Falconer","Moe Shop","Ma³e TGD","Kazik Na ¯ywo","FKA twigs","2WEI","Julian Calor","LeeHi","StayLoose","EZI","Piotr Ziola","Barns Courtney","Julia Wieniawa","Au/Ra","Visions of Atlantis","Julia Pietrucha","Katja Krasavice","AViVA","Eves Karydas","C-BooL","Dawid Podsiad³o","Cemetery Sun","Crooked Colours","Sonbird","Dope","Beteo","Adam Jensen","Selena Gomez","Robin Tayger","Rei Yasuda","Hyolyn","Selphius","Fisz Emade Tworzywo","Trill Pem","Jerry Butler","Paulina Przybysz","Deys","HUNNY","Sonbird","Shontelle","Pawe³ Domaga³a","Beteo","White 2115","Lewis Capaldi","Adi Nowak","Bovska","Shakin' Stevens","Kartky","Tyler, The Creator","Cleo","Smallpools","Sarius","JP Cooper","Sarius","Reto","Bazzi","Dawid Podsiad³o","My Chemical Romance","BLACHA","Train","Young Multi","Halsey","Otsochodzi","Kortez","Fetty Wap","Gabrielle Aplin","Britney Spears","Selena Gomez","Olly Murs","Bitamina","Giant Rooks","Julia Pietrucha","Ewelina Lisowska","Roxie","The Royal Concept","Chloe x Halle","Survivor","Jezozwierz","COIN","Carlie Hanson","Sir Mich","Margaret","Kubi Producent","Train","Deys","Paulina Przybysz","Selena Gomez","Brodka","Rita Ora","Piotr Ziola","Kartky","The Saturdays","Britney Spears","Bazzi","Foster The People","Florence + The Machine","Cats On Trees","Young Multi","Lewis Capaldi","Clock Machine","Sonbird","Boys Like Girls","Zella Day","Halsey","Kortez","Hilltop Hoods","Mela Koteluk","Reni Jusis","Don Diablo","Cleo","Andy Grammer","Ewelina Lisowska","Patrick the Pan","Anita Lipnicka","Kortez","Gianluca","James Bay","BLACHA","Trill Pem",NA,"Natalia Kukulska","Czes³aw Niemen","Fisz Emade Tworzywo","Chloe x Halle","£ukasz Zagrobelny","Kombii","Jack Ü","Vicky Vale","Bryson Tiller","Julia Pietrucha","Selena Gomez","Sarius","Varius Manx"
"13","Lizz Robinett","Xxanaxx","Desmeon","HyunA","Whethan","Thomas Bergersen","Not Your Dope","The Electric Swing Circus","Kuban","Blackmore's Night","Michael Calfan","Neovaii","Lorcan X Jamie","Sapphire","Ania Wyszkoni","Bedoes","Nevatrash","Edguy","Crusher-P","Sylwia Grzeszczak","Myslovitz","Sleigh Bells","Elgate feat. Spektrem","Sabai","LOO<U+03A0><U+0394> / ODD EYE CIRCLE","Jerry Folk","Abigail Barlow","Organek","Des Rocs","Linia Nocna","Ella Vos","Machinae Supremacy","Patrick the Pan","Namika","Veorra","Kllo","Feel","Domowe Melodie","Foreign Air","Whethan","BARANOVSKI","Serj Tankian","Olszakumpel","Neovaii","Lorde","Nicolas Haelg","<U+3044><U+3068><U+3046><U+304B><U+306A><U+3053>","PRISTIN V","FalKKonE","Bitamina","Bedoes","The Marvelettes","Maria Peszek","Kuban","The Band CAMINO","BARANOVSKI","Will Young","Xxanaxx","Olszakumpel","Young Multi","James Bay","Deemz","Coals","Eruption","Kuban","Trey Songz","Dawid Podsiad³o","The Wombats","Deys","Niall Horan","Guzior","Otsochodzi","Tate McRae","Domowe Melodie","New Found Glory","Malik Montana","Neon Trees","Sir Mich","Anne-Marie","Wac Toja","Happysad","PnB Rock","Dean Lewis","Jessie J","Demi Lovato","Nick Jonas","Ralph Kaminski","NoMBe","Patrick the Pan","Video","Natalia Szroeder","Goldroom","Little Mix","Christopher Cross","Wac Toja","Young the Giant","FLETCHER","Smolasty","Ewelina Lisowska","Reto","Neon Trees","Kuban","Maria Peszek","Britney Spears","Julia Marcell","Fifth Harmony","Organek","Kuban","Adam Lambert","Jessie J","Tate McRae","Waterparks","BANKS","Kimberose","Sir Mich","James Bay","Holak","BARANOVSKI","Gerard Way","Fay Wildhagen","Anne-Marie","Fismoll","Blue Scholars","Rosalie.","Agnieszka Chylinska","Jonas Blue","Dawid Podsiad³o","Snow Patrol","Karolina Czarnecka","Dawid Podsiad³o","Edyta Bartosiewicz","Happysad","Yung Beef","The Script","Malik Montana","Bedoes",NA,"Mandaryna","Czerwone Gitary","Maja Kleszcz","Little Mix","Sumptuastic","Verba","Kygo","Lisa Johnson","Young Thug","Patrick the Pan","Lorde","Sir Mich","Anita Lipnicka"
"14","Lollia","Domowe Melodie","Panda Eyes","HA:TFELT","Louis Futon","Bond","Veorra","C2C","Sir Mich","The Moon & The Nightspirit","Shallou","Skan","Ilkay Sencan","Aviators","Margaret","Solar","nya","Avantasia","Battle Tapes","My3","Pudelsi","Blood Orange","Tommee Profitt","Direct","CLC","EMBRZ","Royal & the Serpent","Kortez","Oh The Larceny","Sonbird","Emily Vaughn","Gloryhammer","BOWNIK","Pietro Lombardi","TeZATalks","Wafia","Top One","Bitamina","UNSECRET","Saint Motel","Pawe³ Domaga³a","Fear Factory","Zeamsone","Nico Collins","Ellie Goulding","DLMT","yanaginagi","BLACKPINK","Tsuko G.","Flirtini","Solar","The Impressions","Nosowska","Sir Mich","Sure Sure","Pawe³ Domaga³a","Rachel Stevens","Domowe Melodie","Zeamsone","Quebonafide","DNCE","Otsochodzi","Julia Pietrucha","Pussycat","KêKê","Kendrick Lamar","Sobel","Grizfolk","Deemz","Julia Michaels","Malik Montana","Sobel","Conan Gray","Bitamina","+44","Beteo","The Score","Rasmentalism","Demi Lovato","Filipek","Organek","A$AP Ferg","Maisie Peters","Nick Jonas","Julia Michaels","Jessie J","Lanberry","Broken Back","BOWNIK","Feel","Edyta Gorniak","Miike Snow","Miley Cyrus","Starship","Sarius","Hippo Campus","Tate McRae","Deemz","BARANOVSKI","Favst","The Score","Sir Mich","Nosowska","The Pussycat Dolls","Pustki","Clean Bandit","Kortez","KêKê","Kesha","Nick Jonas","Conan Gray","Set It Off","The Neighbourhood","Vanessa Paradis","Rasmentalism","DNCE","Miêtha","Pawe³ Domaga³a","3OH!3","Cezinando","Demi Lovato","Mery Spolsky","Kid Quill","The Dumplings","Edyta Gorniak","Vigiland","Sobel","Imagine Dragons","Sylwia Grzeszczak","Xxanaxx","Daria Zawia³ow","Organek","Maikel Delacalle","American Authors","Beteo","Solar",NA,"Agnieszka Chylinska","Big Cyc","BOKKA","Miley Cyrus","Pectus","Edyta Gorniak","Alesso","Delta Queens","Tyga","BOWNIK","Ellie Goulding","Taco Hemingway","Virgin"
"15","Kyoresu","BOKKA","NIVIRO","BVNDIT","MOONZz","William Joseph","Omri","Jamie Berry","Jan-Rapowanie","Garmarna","Sons Of Maria","Unknown Brain","Yarimov","NateWantsToBattle","Jula","Olszakumpel","Ricii Lompeurs","Manowar","Ghost and Pals","Lanberry","£¹ki £an","Sky Ferreira","Cartoon","REAPER","EXID","More Giraffes","Lauren Sanderson","BOKKA","Stephen","Fisz Emade Tworzywo","Kiiara","Beast In Black","Mêskie Granie Orkiestra 2018","Johannes Oerding","KUURO","Mansionair","Power Play","SMOLIK / KEV FOX","Weathers","Hippo Campus","Artur Rojek","In Extremo","PlanBe","Jordan Clarke","Olivia O'Brien","THE NEW CVLTVRE","Cö Shu Nie","KATIE","FamilyJules","Ralph Kaminski","Olszakumpel","Solomon Burke","BOWNIK","Jan-Rapowanie","MisterWives","Artur Rojek","Fleur East","BOKKA","PlanBe","Young Igi","Justin Bieber","Kartky","Fisz Emade Tworzywo","Gloria Gaynor","Young Multi","Kid Cudi","Ania Dabrowska","The Hunna","Adi Nowak","ZAYN","Arab","Kubi Producent","gnash","SMOLIK / KEV FOX","Box Car Racer","Oki","Macklemore & Ryan Lewis","Young Igi","Mabel","Szopeen","Natalia Przybysz","Desiigner","Juke Ross","Aly & AJ","PRETTYMUCH","MKTO","Organek","Chet Faker","Mêskie Granie Orkiestra 2018","Mateusz Mijal","Sylwia Grzeszczak","Two Door Cinema Club","Halsey","Heart","HuczuHucz","Fitz and The Tantrums","bülow","Sarius","Sylwia Grzeszczak","DMN","Macklemore & Ryan Lewis","Jan-Rapowanie","BOWNIK","Avril Lavigne","Swietliki","Labrinth","BOKKA","Young Multi","Hilary Duff","Aly & AJ","gnash","AJR","Kali Uchis","Flavia Coelho","Young Igi","Justin Bieber","Bass Astral x Igo","Artur Rojek","Marianas Trench","Kalandra","Mabel","Coals","Jon Bellion","Natalia Przybysz","Kasia Cerekwicka","Lucas & Steve","Ania Dabrowska","Mat Kearney","Xxanaxx","Mery Spolsky","Coma","Natalia Przybysz","Lola Indigo","Snow Patrol","Oki","Olszakumpel",NA,"Paulla","Yugopolis","Daria Zawia³ow","Halsey","Bajm","Gosia Andrzejewicz","Felix Jaehn","Donna","Miguel","Mêskie Granie Orkiestra 2018","Olivia O'Brien","Quebonafide","Andrzej Piaseczny"
"16","Heiakim","Mêskie Granie Orkiestra 2018","Goblins from Mars","NATURE","Neovaii","Icon For Hire","KLOUD","Klischée","Zeamsone","Adam Skorupa","GAMPER & DADONI","Unlike Pluto","Vincent Vega","FalKKonE","Roksana Wêgiel","Reto","Lucas Wintz","Freedom Call","Funk Fiction","Marcin Maciejczak","Raz Dwa Trzy","Arca","Besomorph","FWLR","Girls' Generation","ilo ilo","EXES","Natalia Nykiel","Foreign Air","Kasia Lins","Jaira Burns","Within Temptation","Fisz Emade Tworzywo","Mark Forster","DROELOE","George Maple","Papa Dance","Natalia Przybysz","Zayde Wolf","STRFKR","Natalia Przybysz","In Flames","Kukon","Faith Marie","Demi Lovato","Luxe Agoris","fripSide","fromis_9","Shayne Orok","The Dumplings","Reto","The Chiffons","The Dumplings","Zeamsone","Hippo Campus","Natalia Przybysz","Diana Vickers","Mêskie Granie Orkiestra 2018","Kukon","TACONAFIDE","Camila Cabello","Quebonafide","Patrick the Pan","Stars On 45","Zeamsone","Chris Brown","Sylwia Grzeszczak","Sea Girls","Kartky","Camila Cabello","Wac Toja","Favst","Cavetown","Natalia Przybysz","Jimmy Eat World","Otsochodzi","AJR","Wac Toja","ZAYN","Miyo","Sorry Boys","Jaden","Calum Scott","Kelly Clarkson","The Vamps","The Wanted","The Dumplings","L'aupaire","Fisz Emade Tworzywo","Kalwi & Remi","Denis","WALK THE MOON","Selena Gomez & The Scene","Peter Cetera","Kaz Ba³agane","Colony House","Phoebe Ryan","Kaz Ba³agane","Daria Zawia³ow","SB Maffija","AJR","Zeamsone","The Dumplings","Gwen Stefani","Republika","Christina Perri","Natalia Nykiel","Zeamsone","Katy Perry","Kelly Clarkson","Cavetown","All Time Low","Rina Sawayama","Izia","Wac Toja","Camila Cabello","The Dumplings","Natalia Przybysz","You Me At Six","Daughter","ZAYN","Ralph Kaminski","B.o.B","Mikromusic","Mela Koteluk","Martin Jensen","Sylwia Grzeszczak","Five For Fighting","Jula","BOKKA","Mrozu","Sorry Boys","Princesa Alba","X Ambassadors","Otsochodzi","Reto",NA,"£zy","Dzem","Mêskie Granie Orkiestra 2018","Selena Gomez & The Scene","Verba","Michal Szpak","Zedd","Niko","6LACK","Fisz Emade Tworzywo","Demi Lovato","Young Igi","Ryszard Rynkowski"
"17","MYTH & ROID","Kasia Lins","OMFG","AleXa","Mickey Valen","Audiomachine","Biometrix","11 Acorn Lane","Rasmentalism","Tartalo Music","Ben Böhmer","Nurko","BROHM","dj-Jo","Video","chillwagon","KEAN DYSSO","Orden Ogan","Miracle Musical","Ala Tracz","El Dupa","Tennis","TheFatRat","Slippy","Moon Byul","Griffin Stoller","Jaira Burns","Maria Peszek","The Man Who","Domowe Melodie","Zella Day","Bloodbound","Mery Spolsky","Stereoact","Taska Black","Vallis Alps","Kombii","Pawe³ Domaga³a","lovelytheband","slenderbodies","Mery Spolsky","Slipknot","Young Igi","Ellise","Hey Violet","Pawl","Nana Mizuki","Red Velvet","Akano","Karolina Czarnecka","chillwagon","Martha Reeves & The Vandellas","Fisz Emade Tworzywo","Rasmentalism","THE WLDLFE","Mery Spolsky","Nadine Coyle","Kasia Lins","Young Igi","Sir Mich","Taylor Swift","Sarius","Dawid Podsiad³o","Middle Of The Road","Sir Mich","Wiz Khalifa","Kortez","Neon Trees","Bonus RPK","Gavin James","Young Igi","Wiatr","Olivia O'Brien","Pawe³ Domaga³a","Goldfinger","chillwagon","Zayde Wolf","Jan-Rapowanie","Madison Beer","Trill Pem","Brodka","French Montana","JP Saxe","Fergie","5 Seconds of Summer","Jonas Blue","Kaœka Sochacka","The Jungle Giants","Mery Spolsky","Micha³ Szczygie³","sanah","Phoenix","Justin Bieber","Daryl Hall & John Oates","Ten Typ Mes","Coast Modern","Anna Clendening","Deys","Gromee","Young Igi","Zayde Wolf","Rasmentalism","Fisz Emade Tworzywo","Troye Sivan","Raz Dwa Trzy","Troye Sivan","Maria Peszek","Sir Mich","Christina Perri","Fergie","Olivia O'Brien","MISSIO","Kim Petras","Julien Doré","Jan-Rapowanie","Taylor Swift","Gverilla","Mery Spolsky","Set It Off","Kristian Kristensen","Madison Beer","Lor","X Ambassadors","Marcelina","Mrozu","Cash Cash","Kortez","Keane","Ania Karwan","Bovska","Piotr Cugowski","Brodka","Don Patricio","Years & Years","chillwagon","chillwagon",NA,"Ich Troje","Marek Grechuta","Mela Koteluk","Justin Bieber","Ich Troje","Kasia Kowalska","Robin Schulz","Susan Bell","Ty Dolla $ign","Mery Spolsky","Hey Violet","Young Multi","Mietek Szczesniak"
"18","Imoutosan","Linia Nocna","Janji","GWSN","Elohim","Miracle Of Sound","DNMO","Wax Tailor","Quebonafide","Faun","Tep No","Arc North","Tamer Kaan","FamilyJules","Julia Wieniawa","Quebonafide","Morix","Elvenking","Bear Ghost","Carla Fernandes","Cool Kids Of Death","Austra","Audiomachine","Half an Orange","Hyolyn","Gill Chang","Cayley Spivey","Natalia Przybysz","Weathers","Kortez","Maty Noyes","Leaves' Eyes","Kasia Lins","Silbermond","Mickey Valen","Northeast Party House","Baciary","Piotr Rogucki","Badflower","Magic City Hippies","Brodka","Korn","Wac Toja","Michaela Laws","Charlotte Lawrence","Viva La Panda","SawanoHiroyuki[nZk]:Aimer","HINAPIA","Divide Music","Patrick the Pan","Quebonafide","Sam Cooke","Natalia Przybysz","Quebonafide","Vista Kicks","Brodka","Cover Drive","Linia Nocna","Wac Toja","Taco Hemingway","Alex & Sierra","be vis","Natalia Przybysz","Hot Chocolate","Rasmentalism","The-Dream","Kwiat Jab³oni","Saint Raymond","PRO8L3M","Nick Jonas","Jan-Rapowanie","Sarius","Harry Styles","Piotr Rogucki","Rise Against","Kubi Producent","BANNERS","PRO8L3M","Troye Sivan","Kartky","KARAŒ/ROGUCKI","Bryce Vine","Canyon City","Julia Michaels","Why Don't We","Colbie Caillat","Mrozu","Fynn Kliemann","Kasia Lins","Liber","Natalia Nykiel","Bag Raiders","Nicki Minaj","Little River Band","DJ Ike","Sir Sly","Pia Mia","Taco Hemingway","Edyta Gorniak","¯abson","BANNERS","Quebonafide","Natalia Przybysz","Selena Gomez & The Scene","Maciej Maleñczuk","MARINA","Natalia Przybysz","Rasmentalism","Olly Murs","Julia Michaels","Harry Styles","Cage The Elephant","King Princess","Pauline Croze","PRO8L3M","Alex & Sierra","Ofelia","Brodka","Palaye Royale","Pim Stones","Troye Sivan","BOKKA","Luke Christopher","Meek, Oh Why?","Bajm","Steve Aoki","Kwiat Jab³oni","WALK THE MOON","Margaret","Fismoll","Pawe³ Domaga³a","KARAŒ/ROGUCKI","Bea Pelea","Seafret","Kubi Producent","Quebonafide",NA,"Bajm","Sztywny Pal Azji","Sonbird","Nicki Minaj","Natalia Kukulska","Afromental","Axwell /\ Ingrosso","Alphatown","Lil Wayne","Kasia Lins","Charlotte Lawrence","KêKê","Brodka"
"19","AmaLee","BARANOVSKI","Ahrix","3YE","Party Pupils","Daniel Jang","Echos","Alice Francis","Kaz Ba³agane","Heather Dale","Monolink","Prismo","Linius","Caleb Hyles","Kasia Kowalska","Adi Nowak","LIUFO","Rhapsody Of Fire","GHOST DATA","Margaret","Lipali","Chairlift","League of Legends: Wild Rift","Jay Eskar","WINNER","Jai Wolf","Zolita","Artur Rojek","JAXSON GAMBLE","Coals","EXES","Brothers of Metal","Natalia Przybysz","Philipp Poisel","Egzod","Cassian","Bracia Figo Fagot","Julia Pietrucha","Stephen","Phantogram","Julia Pietrucha","Machine Head","Belmondo","Au/Ra","Bebe Rexha","MASKED","Haruka Tomatsu","MOMOLAND","PelleK","Natalia Nykiel","Adi Nowak","Four Tops","Bitamina","Kaz Ba³agane","The Happy Fits","Julia Pietrucha","Steps","BARANOVSKI","Belmondo","BLACHA","ZAYN","Reto","Mery Spolsky","Fancy","Taco Hemingway","Mike Posner","Mery Spolsky","Amber Run","Gedz","JP Saxe","Leh","Zeamsone","mxmtoon","Julia Pietrucha","Angels & Airwaves","schafter","Thirty Seconds To Mars","Malik Montana","Julia Michaels","B.R.O","Pawe³ Domaga³a","Trippie Redd","Dermot Kennedy","Glee Cast","Louis Tomlinson","Zedd","Dawid Podsiad³o","Sean Koch","Natalia Przybysz","Edyta Gorniak","Pawe³ Domaga³a","Youngblood Hawke","Meghan Trainor","Rick Springfield","Jan-Rapowanie","The Happy Fits","Maty Noyes","TACONAFIDE","Ania Wyszkoni","Malik Montana","Thirty Seconds To Mars","Kaz Ba³agane","Bitamina","RuPaul","Sorry Boys","Kelly Clarkson","Artur Rojek","Taco Hemingway","Avril Lavigne","Glee Cast","mxmtoon","Jon Bellion","Zella Day","Soha","Malik Montana","ZAYN","KRÓL","Julia Pietrucha","Waterparks","Orla Gartland","Julia Michaels","Sonbird","Chris Webby","Albo Inaczej","Sistars","R3HAB","Mery Spolsky","James Arthur","Edyta Gorniak","BOWNIK","The Dumplings","Pawe³ Domaga³a","Chocolate Remix","The Fray","schafter","Adi Nowak",NA,"Video","Kult","Xxanaxx","Meghan Trainor","Brathanki","Piotr Rubik","Matoma","Valentina","NAV","Natalia Przybysz","Bebe Rexha","Rasmentalism","Piotr Rubik"
"20","Rezo","BOWNIK","Aero Chord","Cherry Bullet","Sinner's Heist","Malukah","Far Out","Odd Chap","Young Multi","Logan Epic Canto","Nora Van Elken","Cadmium","Verbus","Dima Lancaster","Feel","Kukon","SENSE","Bloodbound","Tally Hall","Natalia Nykiel","Kult","yeule","Skan","Conor Ross","HyunA","Elohim","Emily Vaughn","Sorry Boys","Zayde Wolf","SMOLIK / KEV FOX","Bahari","Soilwork","Mêskie Granie Orkiestra","Revolverheld","Inova","Willaris. K","Borys LBD","Artur Rojek","Arrested Youth","The Jungle Giants","Krzysztof Zalewski","Knorkator","SB Maffija","Fly By Nightcore","Maggie Lindemann","Alex Alexander","SawanoHiroyuki[nZk]:Tielle","CLC","MYTH & ROID","Sorry Boys","Kukon","The Miracles","Mikromusic","Young Multi","joan","Krzysztof Zalewski","Liberty X","BOWNIK","SB Maffija","Holak","Meghan Trainor","Gedz","Kasia Lins","Donna Summer","White 2115","Theophilus London","Ochman","Gabrielle Aplin","Taco Hemingway","John Legend","Ma³pa","Jan-Rapowanie","MARINA","Artur Rojek","AFI","Zeamsone","Fall Out Boy","Kaz Ba³agane","Bebe Rexha","Szymi Szyms","BARANOVSKI","benny blanco","Ella Henderson","Katy Perry","Halsey","Katy Perry","Bovska","Lime Cordiale","Mêskie Granie Orkiestra","Long & Junior","Marcin Maciejczak","Technicolor Fabrics","Shawn Mendes","Asia","Guzior","Moon Taxi","Fifth Harmony","Quebonafide","Jula","Zeamsone","Fall Out Boy","Young Multi","Mikromusic","Allie X","Smolik","Lily Allen","Sorry Boys","White 2115","Cher Lloyd","Katy Perry","MARINA","YUNGBLUD","BORNS","Yael Naim","Kaz Ba³agane","Meghan Trainor","Têskno","Krzysztof Zalewski","Never Shout Never","Eivor","Bebe Rexha","Linia Nocna","mike.","Patrick the Pan","Myslovitz","Martin Solveig","Ochman","Daughtry","Ania Dabrowska","Natalia Przybysz","Myslovitz","BARANOVSKI","Talisto","Sleeping At Last","Zeamsone","Kukon",NA,"Verba","Strachy Na Lachy","SMOLIK / KEV FOX","Shawn Mendes","Edyta Gorniak","Ewelina Lisowska","Major Lazer","Max Coveri","Kendrick Lamar","Mêskie Granie Orkiestra","Maggie Lindemann","Holak","£zy"
